the,0.06126579445230104,3
of,0.030799067841442946,2
and,0.030334368456286905,3
to,0.027106635521661586,2
a,0.024993775260419362,1
in,0.02082502607085306,2
i,0.01765162643770177,1
that,0.01725125443468305,4
it,0.012976527404986732,2
is,0.011603381306949772,2
for,0.010401301401789033,3
you,0.009106839664710263,3
was,0.00804975002622812,3
with,0.007656429684185022,4
on,0.0072398743728841215,2
as,0.006363845007941489,2
have,0.005981381179918412,4
but,0.005866626812099311,3
be,0.005522871022381261,2
they,0.0054311486983242615,4
are,0.0054152697782856325,3
at,0.005130920427434147,2
by,0.00502818939523535,2
he,0.005007186606430262,2
not,0.004941844596814435,3
this,0.004914449654894756,4
we,0.004832417023257494,2
or,0.004778235915905239,2
do,0.004526506838487742,2
from,0.004500329449542271,4
an,0.003758484568632142,2
so,0.0037138916909517754,2
uh,0.003644440440047996,2
were,0.0035267436525412256,4
know,0.0034917897359066723,4
like,0.0032189056755623116,4
all,0.0031801976372572835,3
there,0.0031220594827388527,5
his,0.0030263293801417518,3
about,0.0030088777875114372,5
if,0.0029158364477323787,2
has,0.0029139086555232158,3
what,0.0028441530163758845,4
just,0.0028425803437841994,4
yeah,0.0027695271653317213,4
my,0.002713519728518155,2
had,0.0026703980606816225,3
would,0.0026325017243594,5
more,0.0025745157639627454,4
when,0.002403956884825779,4
can,0.0023898028315006118,3
who,0.0023585015737886818,3
out,0.002297420999582582,3
which,0.002292195668068273,5
said,0.0022598290515039115,4
their,0.0022460808491701462,5
no,0.0021990021341674383,2
she,0.0021273187028109444,3
up,0.0021094105278153022,2
been,0.0021068739591190355,4
think,0.0020879004252709614,5
well,0.0020663395913526955,4
than,0.0019211971305523206,4
some,0.0019207912795609179,4
will,0.001920486891317366,4
because,0.0019009045809821878,7
other,0.0018919758591713293,5
did,0.0018397225440282374,3
new,0.001817806590492494,3
me,0.0018084212863163076,2
s,0.001777576610969706,1
time,0.0017632703635227622,4
her,0.0017056902541175104,3
them,0.001695239591088892,4
also,0.0016708885316047328,4
people,0.0016702797551176288,6
get,0.0016131054967037798,3
right,0.00160245190817946,5
these,0.0015591273148472266,5
its,0.001553394669593664,3
now,0.0015442122909131788,3
then,0.0015128603018273238,4
could,0.0015088525232872226,5
only,0.0014798341774019327,4
um,0.001474355189017997,2
really,0.001469484977121165,6
into,0.0014432568568017684,4
how,0.0013867421062489485,3
see,0.001354578415180288,3
your,0.0013210449770156437,4
oh,0.0012922295566260551,2
most,0.001262551702879736,4
good,0.00124022989835259,4
after,0.0012232856194615291,5
even,0.0012175529742079665,4
much,0.001200659426690831,4
our,0.001200202844325503,3
here,0.0011876214635920207,4
where,0.0011796059065118183,5
over,0.0011606831040376696,4
him,0.0011591611628199096,3
may,0.0011475436781910086,3
does,0.0011405427485893127,4
go,0.0011315632954045289,2
any,0.0011142131655220654,3
first,0.0010833684901754635,5
years,0.0010452692283575394,5
way,0.0010425297341655714,3
those,0.0010317239515194756,5
too,0.001031165906406297,3
very,0.0010133084627845803,4
many,0.0009925593308491194,4
going,0.0009900227621528529,5
should,0.0009604971025283097,6
such,0.0009327977723650784,4
got,0.0009320875331301238,3
used,0.0009316816821387211,4
year,0.0009306670546602144,4
work,0.0009232095426931907,4
make,0.0009200641975098201,4
say,0.0009016994401488499,3
back,0.0008914517026159329,4
last,0.0008905892692592022,4
little,0.0008684703902277575,6
still,0.0008606577586432564,5
between,0.0008436120170043449,7
something,0.0008255009165130013,9
mean,0.0008234209301820627,4
both,0.0008180941359199028,4
each,0.0007974464667322927,4
lot,0.0007926269862093862,3
before,0.0007907499253741489,6
being,0.0007751246622051467,5
same,0.0007606662206364271,4
through,0.0007580789205662351,7
thing,0.0007497589752424807,5
want,0.0007490994673814514,4
use,0.0007431638966321876,3
while,0.0007428087770147102,5
times,0.0007420985377797556,5
c,0.000737431251378625,1
down,0.0007367210121436705,4
things,0.0007352498022998358,6
take,0.0007237845117927107,4
cells,0.0007141962821208231,5
made,0.0007024773347440714,4
off,0.0007013105131437888,3
day,0.0006955271365163009,3
kind,0.0006934471501853623,4
data,0.000693396418811437,4
us,0.0006859389068444131,2
never,0.0006733067947370055,5
since,0.0006596093237771659,5
might,0.0006511371843316354,5
okay,0.0006411938350422704,4
p,0.0006394689683288091,1
world,0.0006338377858230973,5
another,0.0006230320031770016,7
different,0.0006227783463073749,9
using,0.0006177559402887671,5
around,0.0006161325363231564,6
why,0.0006129871911397858,3
ca,0.0006021306771197648,2
house,0.0006018770202501382,5
need,0.0005752937803132642,4
though,0.0005739747645912056,6
long,0.000571438195894939,4
says,0.0005666694467459577,4
during,0.0005568782915783687,6
number,0.0005556100072302354,6
part,0.0005553563503606087,4
home,0.0005525153934207901,4
state,0.0005524139306729395,5
life,0.0005409993715397399,4
big,0.0005375496381128173,3
come,0.0005319691869810307,4
york,0.0005306501712589721,4
found,0.0005290774986672868,5
american,0.0005232433906658736,8
under,0.000522076569065591,5
u,0.0005203009709782044,1
information,0.0005180687905254898,11
president,0.0005177136709080125,9
however,0.0005140610119853886,7
own,0.0005120317570283752,3
percent,0.000509545919706034,7
b,0.000509241531462482,1
every,0.0005090386059667807,5
probably,0.0005050815588006049,8
high,0.0005010737802605036,4
study,0.000497015270346477,5
always,0.0004918914015800185,6
story,0.0004886445936487972,5
better,0.00048610802495253067,6
thought,0.0004834699935084134,7
few,0.00048321633663878674,3
look,0.0004828612170213094,4
less,0.00048225244053420543,4
t,0.00048149146992532545,1
against,0.0004812885444296241,7
government,0.0004809841561860721,10
show,0.0004801217228293415,4
